Title,Price,Cost,Status,Category,Condition,Tags,Description,Location,Created
"911/718 Graphite Blue carpet floor mats",150,0,Active,"Car",new,"porsche, floor mats, floor, mats, graphite blue, blue, carpet","Never used Graphite Blue floor mats fromm a 2024 GTS 4.0 718 Boxster. They are in excellent condition, I bought different ones and still have the factory Original. Photo is pretty bad to show the color. Message if you want more details. Two piece driver and passenger and I believe these fit in 911's. $150 OBO","",12/10/2025
"Uniden Appcam Solo - Security Camera",50,0,Active,"Camera",new,"security, camera, app, cam, uniden, security cam, 1080p","Brand new, never used. Been sitting around for awhile, I think it comes with a battery but it might need a new one. Never opened, never used. Really don't know too much about it.","",12/10/2025
"Solid steel Fixture table",3200,500,Active,"Commercial",good,"Steel table, fixture table, manufactuing, lighting, steel, ","20' long, 5' wide. Custom Solid steel fixture/manufacturing table. Comes pre wired for power plugs through the table. It takes two fork lifts or one larger forklift to lift it. I would guess its around 4,000 lbs or so. Flat decks can transport pretty easily. Any questions please reach out.","",12/10/2025
"Commercial Ventilated Ladder Tray/Raceway",1234,0,Active,"Commercial",new,"CER, Ladder tray, cable tray, tray, aluminum, raceway","CER Raceway - CSA approved - Brand new already on skids, 10' lengths and good to go.   Message for more details or questions.  Located in Aldergrove.  CER Raceway - CSA approved - Brand new already on skids, 10' lengths and good to go.   Message for more details or questions.  Located in Aldergrove.  Can sell via cash or couuld sell through an incorporated business complete with invoice.  Open to offers, The ladder tray alone sells over $200 wholesale per piece. Buy the entire lot for a massive fraction of the cost  Approx 2,320' - VCA63-12 12"" x 6"" Ventilated Ladder Tray 15 - 12"" Tee - 12R 24 - 12"" H90 - 12R 20 - VCA63 - VADJ Vert ADJ coupling 17 - VCA63 - HADJ Horiz ADJ coupling 220' - BT4-12 12"" x 4"" Basket Tray, electro plated 6 - BT-Tee kit 44 - BT-H90-KIT  Can ship to site or office  Tags: ladder, ladder tray, tray, cable, cable tray, aluminum, aluminum tray, raceway, wire, wire raceway, rung, rungs, commercial, CER, Cul, CSA, certified, industrial","",12/10/2025
"Ski boots ",0,0,Draft,"",new,"","  - NEW FISCHER RC4 JR 100 SKI BOOTS - SIZE 5.5  - NEW FISCHER RC4 JR 70 TMS SKI BOOTS - SIZE 4 	  - NEW FISCHER SOMA RC4 80 JR SKI BOOTS - SIZE 5.5   - NEW FISCHER RC4 100 JR VACUUM SKI BOOTS - SIZE 4.5 	  - NEW FISCHER TRINITY 110 VACUUM SKI BOOTS - SIZE 5.5  - NEW FISCHER RC4 100 JR VACUUM SKI BOOTS - SIZE 5.5 	  - NEW FISCHER RC4 J70 SKI BOOTS - SIZE 4.5   - NEW FISCHER RC4 WORLD CUP JR 100 SKI BOOTS - SIZE 4.5 	  - NEW FISCHER RC4 JR 80 SKI BOOTS - SIZE 4 	  - NEW FISCHER RC4 VACUUM PRO 130 SKI BOOTS - SIZE 4.5 	  - NEW FISCHER RC4 100 JR VACUUM SKI BOOTS - SIZE 4.5   - NEW FISCHER RC4 100 JR VACUUM SKI BOOTS - SIZE 4.5 	  - NEW FISCHER RC4 80 THERMOSHAPE SKI BOOTS - SIZE 4.5 	  - NEW FISCHER RC4 PODIUM 70 SKI BOOTS - SIZE 3.5 	  - NEW FISCHER RC4 100 VACUUM JR SKI BOOTS - SIZE 4.5   - NEW FISCHER RC4 70 JR THERMOSHAPE SKI BOOTS - SIZE 3.5 	  - NEW ATOMIC REDSTER WORLD CUP 90 SKI BOOTS - SIZE 6.5 	  - NEW ATOMIC REDSTER PRO 80 SKI BOOTS - SIZE 5.5 	  - NEW ATOMIC REDSTER FIS 70 SKI BOOTS - SIZE 5 / 5.5 	  - NEW ATOMIC REDSTER PRO 80 SKI BOOTS - SIZE 4.5 	  - NEW DALBELLO SCORPION 130 SKI BOOTS - SIZE 9	  - NEW ATOMIC REDSTER WC 70 SKI BOOTS - SIZE 5.5 - NEW ATOMIC REDSTER WORLD CUP 90 SKI BOOTS - SIZE 4.5   - NEW NORDICA DOBERMAN GP 90 SKI BOOTS - SIZE 4.5 	  - NEW NORDICA DOBERMANN WC 110 SKI BOOTS - SIZE 4 	  - NEW HEAD RAPTOR 70 SKI BOOTS - SIZE 4.5  - NEW HEAD RAPTOR 70 RS SKI BOOTS - SIZE 3   - NEW HEAD RAPTOR 90 RS SKI BOOTS - SIZE 5.5 ","",12/10/2025
"Lego Bricklink LIMITED EDITION #910033 Old Train Engine Shed",450,336,Active,"Toys",new,"lego, old train engine shed, 910033, bricklink, train, engine","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed   Tags: lego, old train engine shed, 910033, bricklink, train, engine","",12/10/2025
"Lego Bricklink LIMITED EDITION #910044 Wild West Train",500,392,Active,"Toys",new,"lego, old train engine, 910044, bricklink, train, wild west, 910044, ","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed   Tags: lego, old train engine, 910044, bricklink, train, wild west, 910044, ","",12/10/2025
"Lego Bricklink LIMITED EDITION #910039 The Art of Chocolate",450,336,Active,"Toys",new,"lego,art of chocolate, bricklink, chocolate, limited, 910039, rare ","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed   Tags: lego,art of chocolate, bricklink, chocolate, limited, 910039, rare ","",12/10/2025
"Lego Bricklink LIMITED EDITION #910040 Harbormasters Office",400,292,Active,"Toys",new,"lego,bricklink, limited, rare, 910040, Office, Harbormasters, harbormasters office ","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910040, Office, Harbormasters, harbormasters office ","",12/10/2025
"Lego Bricklink LIMITED EDITION #910046 Merchant Boat",350,245,Active,"Toys",new,"lego,bricklink, limited, rare, 910046, boat, merchant boat, merchant, fishing, house boat, house","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910046, boat, merchant boat, merchant, fishing, house boat, house","",12/10/2025
"Lego Bricklink LIMITED EDITION #910032 Parisian Street",600,470,Active,"Toys",new,"lego,bricklink, limited, rare, 910032, Parisian, parisian street, building, bistro, store","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910032, Parisian, parisian street, building, bistro, store","",12/10/2025
"Lego Bricklink LIMITED EDITION #910042 Lost City",475,392,Active,"Toys",new,"lego,bricklink, limited, rare, 910042, Lost city, lost, city, castle","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910042, Lost city, lost, city, castle","",12/10/2025
"Lego Bricklink LIMITED EDITION #910030 Snack Shack",150,73,Active,"Toy",new,"lego,bricklink, limited, rare, 910030, snack, shack, snack shack, trailer","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910030, snack, shack, snack shack, trailer","",12/10/2025
"Lego Bricklink LIMITED EDITION #910031 General Store",350,235,Active,"Toys",new,"lego,bricklink, limited, rare, 910031, General, store, general store, building","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910031, General, store, general store, building","",12/10/2025
"Lego Bricklink LIMITED EDITION #910045 Siege Encampent",350,235,Active,"Toys",new,"lego,bricklink, limited, rare, 910031, General, store, general store, building","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910031, General, store, general store, building","",12/10/2025
"Lego Bricklink LIMITED EDITION #910003 Mountain Windmill",600,258,Active,"Toys",new,"lego,bricklink, limited, rare, 910031, General, store, general store, building","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910003, mountain windmill, windmill, mountain, fortress","",12/10/2025
"Lego Bricklink LIMITED EDITION #910009 Modular Lego Store",650,258,Active,"Toys",new,"lego,bricklink, limited, rare, 910009, Modular, lego, store, lego store, modular lego store, building","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910009, Modular, lego, store, lego store, modular lego store, building","",12/10/2025
"Lego Bricklink LIMITED EDITION #910009 Modular Lego Store (Copy)",650,258,Draft,"Toys",new,"lego,bricklink, limited, rare, 910009, Modular, lego, store, lego store, modular lego store, building","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910009, Modular, lego, store, lego store, modular lego store, building","",12/10/2025
"Lego Bricklink LIMITED EDITION #910003 Mountain Windmill (Copy)",600,258,Draft,"Toys",new,"lego,bricklink, limited, rare, 910031, General, store, general store, building","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910003, mountain windmill, windmill, mountain, fortress","",12/10/2025
"Lego Bricklink LIMITED EDITION #910045 Siege Encampent (Copy)",350,235,Draft,"Toys",new,"lego,bricklink, limited, rare, 910031, General, store, general store, building","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910031, General, store, general store, building","",12/10/2025
"Lego Bricklink LIMITED EDITION #910031 General Store (Copy)",350,235,Draft,"Toys",new,"lego,bricklink, limited, rare, 910031, General, store, general store, building","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910031, General, store, general store, building","",12/10/2025
"Lego Bricklink LIMITED EDITION #910030 Snack Shack (Copy)",150,73,Draft,"Toy",new,"lego,bricklink, limited, rare, 910030, snack, shack, snack shack, trailer","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910030, snack, shack, snack shack, trailer","",12/10/2025
"Lego Bricklink LIMITED EDITION #910042 Lost City (Copy)",475,392,Draft,"Toys",new,"lego,bricklink, limited, rare, 910042, Lost city, lost, city, castle","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910042, Lost city, lost, city, castle","",12/10/2025
"Lego Bricklink LIMITED EDITION #910032 Parisian Street (Copy)",600,470,Draft,"Toys",new,"lego,bricklink, limited, rare, 910032, Parisian, parisian street, building, bistro, store","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910032, Parisian, parisian street, building, bistro, store","",12/10/2025
"Lego Bricklink LIMITED EDITION #910046 Merchant Boat (Copy)",350,245,Draft,"Toys",new,"lego,bricklink, limited, rare, 910046, boat, merchant boat, merchant, fishing, house boat, house","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910046, boat, merchant boat, merchant, fishing, house boat, house","",12/10/2025
"Lego Bricklink LIMITED EDITION #910040 Harbormasters Office (Copy)",400,292,Draft,"Toys",new,"lego,bricklink, limited, rare, 910040, Office, Harbormasters, harbormasters office ","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver   Tags: lego,bricklink, limited, rare, 910040, Office, Harbormasters, harbormasters office ","",12/10/2025
"Lego Bricklink LIMITED EDITION #910039 The Art of Chocolate (Copy)",450,336,Draft,"Toys",new,"lego,art of chocolate, bricklink, chocolate, limited, 910039, rare ","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed   Tags: lego,art of chocolate, bricklink, chocolate, limited, 910039, rare ","",12/10/2025
"Lego Bricklink LIMITED EDITION #910044 Wild West Train (Copy)",500,392,Draft,"Toys",new,"lego, old train engine, 910044, bricklink, train, wild west, 910044, ","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed   Tags: lego, old train engine, 910044, bricklink, train, wild west, 910044, ","",12/10/2025
"Lego Bricklink LIMITED EDITION #910033 Old Train Engine Shed (Copy)",450,336,Draft,"Toys",new,"lego, old train engine shed, 910033, bricklink, train, engine","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed   Tags: lego, old train engine shed, 910033, bricklink, train, engine","",12/10/2025
"Lego Bricklink LIMITED EDITION Lego Sets buy the lot or individual",4500,3522,Active,"Toys",new,"lego,bricklink, limited, rare, 910009, 910003, 910045, 910031, 910030, 910042, 910032, 910046, 910040, 910039, 910044, 910033 Modular, lego store, kit, bundle, windmill, mountain, siege, encampment, general, store, snack, shack, lost, city, parisian, street, merchant, boat, habormaster, office, art, chocolate, wild west, train, engine, shed","Only 10,000 are made world wide, limited edition.  Brand New Factory Sealed  Buy invdividually or but the entire lot for $4,500.00  Pickup around Guildford or might be able to meet in Coquitlam, Langley, Abbotsford and possibly out towards Vancouver  - Lego Bricklink LIMITED EDITION #910009 Modular Lego Store $650 - Lego Bricklink LIMITED EDITION #910003 Mountain Windmill $600 - Lego Bricklink LIMITED EDITION #910045 Siege Encampment $350 - Lego Bricklink LIMITED EDITION #910031 General Store $350 - Lego Bricklink LIMITED EDITION #910030 Snack Shack $150 - Lego Bricklink LIMITED EDITION #910042 Lost City $475 - Lego Bricklink LIMITED EDITION #910032 Parisian Street $600 - Lego Bricklink LIMITED EDITION #910046 Merchant Boat $350 - Lego Bricklink LIMITED EDITION #910040 Harbormasters Office $400 - Lego Bricklink LIMITED EDITION #910039 The Art of Chocolate $450 - Lego Bricklink LIMITED EDITION #910044 Wild West Train $500 - Lego Bricklink LIMITED EDITION #910033 Old Train Engine Shed $450    Tags: lego,bricklink, limited, rare, 910009, 910003, 910045, 910031, 910030, 910042, 910032, 910046, 910040, 910039, 910044, 910033 Modular, lego store, kit, bundle, windmill, mountain, siege, encampment, general, store, snack, shack, lost, city, parisian, street, merchant, boat, habormaster, office, art, chocolate, wild west, train, engine, shed","Guildford",12/10/2025